FIP5,TITLE,GEOGRAPHY
46013,Brown County,County
46013,"Aberdeen, SD",CBSA
46045,Edmunds County,County
46045,"Aberdeen, SD",CBSA
53027,Grays Harbor County,County
53027,"Aberdeen, WA",CBSA
48059,Callahan County,County
48059,"Abilene, TX",CBSA
48253,Jones County,County
48253,"Abilene, TX",CBSA
48441,Taylor County,County
48441,"Abilene, TX",CBSA
40123,Pontotoc County,County
40123,"Ada, OK",CBSA
26091,Lenawee County,County
26091,"Adrian, MI",CBSA
26091,"Detroit-Warren-Ann Arbor, MI",CSA
72003,Aguada Municipio,County
72003,"Aguadilla-Isabela, PR",CBSA
72005,Aguadilla Municipio,County
72005,"Aguadilla-Isabela, PR",CBSA
72011,A??asco Municipio,County
72011,"Aguadilla-Isabela, PR",CBSA
72071,Isabela Municipio,County
72071,"Aguadilla-Isabela, PR",CBSA
72081,Lares Municipio,County
72081,"Aguadilla-Isabela, PR",CBSA
72099,Moca Municipio,County
72099,"Aguadilla-Isabela, PR",CBSA
72117,Rinc??n Municipio,County
72117,"Aguadilla-Isabela, PR",CBSA
72131,San Sebasti??n Municipio,County
72131,"Aguadilla-Isabela, PR",CBSA
72141,Utuado Municipio,County
72141,"Aguadilla-Isabela, PR",CBSA
39133,Portage County,County
39133,"Akron, OH",CBSA
39133,"Cleveland-Akron-Canton, OH",CSA
39153,Summit County,County
39153,"Akron, OH",CBSA
39153,"Cleveland-Akron-Canton, OH",CSA
35035,Otero County,County
35035,"Alamogordo, NM",CBSA
13095,Dougherty County,County
13095,"Albany, GA",CBSA
13177,Lee County,County
13177,"Albany, GA",CBSA
13273,Terrell County,County
13273,"Albany, GA",CBSA
13321,Worth County,County
13321,"Albany, GA",CBSA
41043,Linn County,County
41043,"Albany-Lebanon, OR",CBSA
41043,"Portland-Vancouver-Salem, OR-WA",CSA
36001,Albany County,County
36001,"Albany-Schenectady-Troy, NY",CBSA
36001,"Albany-Schenectady, NY",CSA
36083,Rensselaer County,County
36083,"Albany-Schenectady-Troy, NY",CBSA
36083,"Albany-Schenectady, NY",CSA
36091,Saratoga County,County
36091,"Albany-Schenectady-Troy, NY",CBSA
36091,"Albany-Schenectady, NY",CSA
36093,Schenectady County,County
36093,"Albany-Schenectady-Troy, NY",CBSA
36093,"Albany-Schenectady, NY",CSA
36095,Schoharie County,County
36095,"Albany-Schenectady-Troy, NY",CBSA
36095,"Albany-Schenectady, NY",CSA
37167,Stanly County,County
37167,"Albemarle, NC",CBSA
37167,"Charlotte-Concord, NC-SC",CSA
27047,Freeborn County,County
27047,"Albert Lea, MN",CBSA
01095,Marshall County,County
01095,"Albertville, AL",CBSA
35001,Bernalillo County,County
35001,"Albuquerque, NM",CBSA
35001,"Albuquerque-Santa Fe-Las Vegas, NM",CSA
35043,Sandoval County,County
35043,"Albuquerque, NM",CBSA
35043,"Albuquerque-Santa Fe-Las Vegas, NM",CSA
35057,Torrance County,County
35057,"Albuquerque, NM",CBSA
35057,"Albuquerque-Santa Fe-Las Vegas, NM",CSA
35061,Valencia County,County
35061,"Albuquerque, NM",CBSA
35061,"Albuquerque-Santa Fe-Las Vegas, NM",CSA
01037,Coosa County,County
