ZIPCODE,TITLE
57434,"Aberdeen, SD"
57475,"Aberdeen, SD"
57466,"Aberdeen, SD"
98583,"Aberdeen, WA"
98526,"Aberdeen, WA"
98541,"Aberdeen, WA"
79504,"Abilene, TX"
76464,"Abilene, TX"
76437,"Abilene, TX"
79553,"Abilene, TX"
79503,"Abilene, TX"
74831,"Ada, OK"
49286,"Adrian, MI"
44601,"Akron, OH"
44224,"Akron, OH"
44223,"Akron, OH"
44310,"Akron, OH"
44311,"Akron, OH"
44321,"Akron, OH"
44315,"Akron, OH"
88347,"Alamogordo, NM"
88344,"Alamogordo, NM"
88337,"Alamogordo, NM"
88350,"Alamogordo, NM"
31782,"Albany, GA"
31705,"Albany, GA"
39885,"Albany, GA"
97350,"Albany-Lebanon, OR"
97348,"Albany-Lebanon, OR"
12055,"Albany-Schenectady-Troy, NY"
12007,"Albany-Schenectady-Troy, NY"
12255,"Albany-Schenectady-Troy, NY"
12205,"Albany-Schenectady-Troy, NY"
12202,"Albany-Schenectady-Troy, NY"
12110,"Albany-Schenectady-Troy, NY"
12054,"Albany-Schenectady-Troy, NY"
12203,"Albany-Schenectady-Troy, NY"
12065,"Albany-Schenectady-Troy, NY"
12077,"Albany-Schenectady-Troy, NY"
12128,"Albany-Schenectady-Troy, NY"
12085,"Albany-Schenectady-Troy, NY"
12082,"Albany-Schenectady-Troy, NY"
12019,"Albany-Schenectady-Troy, NY"
12086,"Albany-Schenectady-Troy, NY"
12074,"Albany-Schenectady-Troy, NY"
12027,"Albany-Schenectady-Troy, NY"
28009,"Albemarle, NC"
56072,"Albert Lea, MN"
56032,"Albert Lea, MN"
35769,"Albertville, AL"
87190,"Albuquerque, NM"
87124,"Albuquerque, NM"
87195,"Albuquerque, NM"
87144,"Albuquerque, NM"
87125,"Albuquerque, NM"
87123,"Albuquerque, NM"
87053,"Albuquerque, NM"
87052,"Albuquerque, NM"
87046,"Albuquerque, NM"
87002,"Albuquerque, NM"
36251,"Alexander City, AL"
36256,"Alexander City, AL"
36850,"Alexander City, AL"
71424,"Alexandria, LA"
71322,"Alexandria, LA"
71448,"Alexandria, LA"
71359,"Alexandria, LA"
71351,"Alexandria, LA"
56343,"Alexandria, MN"
56360,"Alexandria, MN"
56332,"Alexandria, MN"
56327,"Alexandria, MN"
56385,"Alexandria, MN"
56339,"Alexandria, MN"
78357,"Alice, TX"
07865,"Allentown-Bethlehem-Easton, PA-NJ"
08886,"Allentown-Bethlehem-Easton, PA-NJ"
