ZIP,FIP5
00606,72093
00721,72119
00757,72133
00782,72127
00782,72045
00902,72127
00934,72021
00934,72061
00985,72031
00977,72033
01085,25013
01096,25011
01096,25015
01098,25015
01103,25013
01220,25003
01263,25003
01347,25011
01330,25011
01330,25015
01462,25027
01462,25017
01516,25027
01509,25027
01569,25027
01581,25027
01703,25017
01757,25027
01803,25017
01784,25017
01810,25017
01810,25009
01812,25009
01842,25009
01854,25017
01879,25017
01960,25009
01970,25009
01982,25009
01985,25009
02020,25023
02035,25021
02030,25021
02030,25017
02108,25025
02113,25025
02137,25025
02143,25017
02169,25021
02171,25021
02344,25023
02558,25023
02642,25001
02634,25001
02660,25001
02738,25023
02768,25005
02790,25005
02808,44009
02823,44007
02883,44009
03044,33015
03086,33011
03215,33009
03221,33013
03245,33001
03245,33009
03291,33015
03303,33013
03467,33005
03593,33007
03602,33005
03602,33019
03780,33009
03825,33017
03825,33015
03839,33017
03840,33015
03847,33003
03864,33003
03904,23031
03882,33003
03886,33003
04001,23031
04030,23031
04062,23005
04078,23005
04240,23001
04276,23017
04270,23017
04270,23001
04267,23017
04262,23007
04417,23019
04426,23021
04438,23027
04469,23019
04543,23015
04619,23029
04660,23009
04642,23009
04646,23009
04733,23003
04733,23019
04765,23019
04775,23003
04848,23027
04856,23013
04940,23007
05061,50027
05061,50017
05073,50027
05150,50027
05362,50025
05442,50015
05446,50007
05450,50011
05449,50007
05486,50013
05481,50011
05671,50023
05746,50027
05741,50021
05733,50001
05733,50021
05825,50019
05839,50019
05839,50005
05858,50009
05861,50005
06021,09005
06013,09003
06016,09003
06035,09003
06057,09005
06066,09013
06066,09003
06073,09007
06073,09003
06072,09013
06076,09013
06115,09003
06231,09011
06231,09013
06147,09003
06154,09003
06246,09015
06339,09011
06359,09011
06374,09011
06374,09015
06372,09011
06403,09009
06413,09007
06422,09007
06422,09009
06443,09009
06608,09001
06602,09001
06509,09009
06779,09005
06779,09009
06903,09001
06793,09005
07010,34003
06910,09001
06824,09001
07040,34039
07040,34013
07036,34039
07102,34013
07052,34013
07108,34013
07109,34013
07204,34039
07457,34027
07621,34003
07666,34003
07739,34025
07723,34025
07871,34037
07927,34027
07880,34041
08079,34033
07974,34039
07978,34035
08098,34033
08098,34015
08328,34015
08340,34011
08340,34001
08109,34007
08501,34021
08501,34005
08501,34025
08405,34001
08353,34011
08542,34021
08610,34021
08610,34005
08601,34021
08604,34021
08212,34009
08248,34009
08628,34021
08734,34029
08736,34025
08757,34029
08754,34029
08902,34023
30031,13089
30016,13217
30016,13247
30043,13135
30068,13067
30069,13067
30157,13067
30157,13223
30185,13045
30185,13097
30132,13223
30134,13097
30134,13223
30206,13231
30223,13151
30223,13255
30223,13035
30271,13077
30266,13255
30457,13209
30457,13107
30457,13283
30424,13251
30339,13067
30339,13121
30511,13137
30511,13011
30555,13111
30564,13139
30564,13187
30564,13311
30565,13195
30565,13157
30518,13135
30518,13139
30527,13311
30527,13139
30568,13241
30620,13013
30620,13297
30620,13135
30725,13295
30701,13115
30701,13129
30707,13295
30707,13047
30623,13211
30627,13195
30627,13221
30630,13221
30752,13083
31002,13283
31002,13175
31002,13167
31002,13107
31011,13091
31011,13175
31025,13153
31016,13171
31016,13079
31016,13207
31016,13293
31072,13315
31072,13081
31072,13093
31302,13029
31302,13051
31302,13103
31085,13159
31131,13121
31502,13299
31622,13019
31624,13299
31624,13003
31624,13069
31625,13027
31543,13127
31543,13305
31543,13025
31733,13277
31733,13155
31738,13275
31738,13071
31720,13275
31791,13321
31791,13095
32008,12067
32008,12121
32008,12029
32008,12041
32119,12127
32126,12127
32130,12127
32139,12107
32170,12127
32320,12037
32326,12129
32562,12113
32443,12063
32455,12059
32455,12131
32571,12113
32635,12001
32601,12001
32680,12029
32713,12127
32605,12001
32612,12001
32773,12117
32779,12117
32759,12127
32901,12009
32905,12009
32920,12009
32925,12009
32828,12095
33019,12011
33015,12086
33137,12086
33166,12086
33192,12086
33332,12011
33348,12011
33436,12099
33412,12099
33476,12099
33446,12099
33448,12099
33484,12099
33564,12057
33616,12057
33568,12057
33570,12057
33583,12057
33679,12057
33680,12057
33773,12103
33782,12103
33710,12103
33786,12103
33862,12055
33901,12071
33843,12055
33843,12105
33855,12105
33922,12071
34101,12021
33991,12071
34206,12081
34208,12081
34275,12115
34449,12017
34449,12075
34428,12017
34653,12101
34637,12101
34690,12101
34729,12069
34951,12111
34981,12111
34745,12097
34742,12097
34747,12097
34747,12095
35115,01117
35115,01007
35115,01021
35135,01115
35181,01073
35243,01117
35243,01073
35244,01117
35244,01073
35224,01073
35208,01073
35490,01125
35554,01093
35554,01127
35554,01057
35593,01093
35593,01059
35677,01077
35803,01089
35749,01089
35749,01083
35897,01089
35968,01049
35984,01019
35984,01049
36017,01005
36108,01101
36102,01101
36205,01015
36039,01087
36444,01099
36481,01099
36540,01025
36613,01097
36652,01097
36571,01097
36748,01091
36758,01001
36758,01047
36758,01021
36722,01091
36722,01131
36587,01097
36849,01123
36849,01081
37052,47125
37052,47043
36871,01113
36874,01113
36874,01081
36877,01113
36877,01081
37115,47037
37118,47149
37118,47189
37118,47015
37153,47003
37153,47149
37311,47011
37311,47065
37246,47037
37250,47037
37381,47035
37381,47143
37381,47007
37385,47123
37385,47139
37341,47065
37328,47051
37328,47103
37338,47153
37338,47143
37338,47065
37338,47007
37352,47051
37352,47127
37353,47011
37353,47065
37365,47061
37365,47153
37365,47115
37755,47151
37810,47059
37711,47073
37711,47063
37711,47059
37851,47025
37877,47089
37877,47063
37929,47093
38017,47157
38017,47047
38201,47183
38201,47017
38201,47079
38193,47157
38134,47157
38137,47157
38311,47039
38318,47017
38318,47005
38327,47071
38331,47053
38506,47087
38506,47185
38506,47133
38506,47141
38543,47137
38543,47133
38545,47087
38545,47141
38551,47027
38551,47087
38551,47133
38352,47077
38352,47023
38371,47071
38371,47077
38371,47039
38371,47023
38563,47159
38379,47109
38379,47071
38454,47081
38454,47119
38469,47099
38488,47103
38649,28093
38849,28145
38849,28081
38849,28057
38954,28083
38954,28051
38954,28015
38674,28139
38721,28151
38721,28125
38736,28083
38736,28133
38746,28011
38753,28053
38753,28133
38769,28011
38782,28151
39181,28149
39162,28163
39210,28049
39217,28049
39116,28129
39121,28001
39320,28069
39320,28075
39309,28075
39363,28023
39507,28047
39480,28067
39480,28061
39477,28067
39560,28047
39553,28059
39443,28067
39443,28153
39443,28061
39747,28097
39638,28157
39638,28005
39825,13253
39825,13087
28793,37089
28723,37099
28723,37087
28730,37021
28724,37089
28738,37087
28735,37089
28901,37039
29111,45089
29111,45027
29010,45055
29010,45061
29054,45063
29170,45063
29169,45063
29171,45063
29202,45079
29215,45079
29240,45079
29424,45019
29568,45051
29569,45051
29574,45067
29574,45033
29580,45089
29598,45051
29671,45077
29827,45049
29827,45005
29696,45073
29726,45091
29922,45049
29922,45053
50063,19049
50071,19069
50071,19197
50120,19127
50104,19107
50104,19157
50104,19123
50117,19009
50078,19127
29943,45053
50002,19001
50002,19077
50170,19099
50170,19125
50201,19169
50153,19099
50153,19157
50153,19123
50218,19121
50222,19039
50222,19121
50236,19169
50236,19079
50458,19033
50458,19131
50458,19067
50543,19187
50543,19073
50567,19021
50567,19161
50546,19151
50546,19147
50464,19033
50464,19195
50464,19131
50480,19109
50517,19109
50525,19197
50530,19187
50530,19015
50467,19033
50632,19127
50632,19171
50623,19013
50651,19013
50651,19019
50651,19171
50651,19011
50655,19065
50652,19171
51343,19041
50857,19173
50857,19003
50857,19137
50839,19003
51525,19155
51550,19085
51551,19071
51551,19129
51458,19161
51458,19047
51466,19027
51466,19047
51466,19161
51576,19155
51647,19145
51647,19071
51656,19145
51054,19193
52035,19055
52035,19043
52345,19011
52346,19011
52065,19055
52065,19061
52069,19097
52069,19045
52361,19095
52553,19135
52553,19179
52553,19123
52574,19007
52585,19101
52585,19107
52585,19183
52560,19051
52566,19179
52593,19007
52207,19097
52207,19045
52213,19011
52213,19113
52210,19019
52210,19011
52247,19183
52247,19103
52621,19087
52621,19115
52621,19183
52641,19183
52641,19101
52641,19087
52647,19087
53018,55133
52720,19139
52720,19031
53069,55133
53027,55027
53027,55131
53076,55131
53080,55131
53080,55089
53002,55131
52809,19163
53184,55127
53159,55059
53128,55059
53128,55127
53537,55105
53516,55045
53516,55049
53516,55025
53516,55065
53521,55025
53521,55045
53521,55105
53549,55055
53556,55111
53556,55103
53557,55027
53563,55055
53563,55105
53235,55079
53813,55043
53594,55027
53594,55025
53594,55055
53936,55001
53715,55025
53716,55025
53718,55025
54028,55109
54407,55097
54307,55009
54430,55067
54446,55019
54166,55115
54166,55078
54210,55029
54559,55003
54559,55051
54482,55097
54648,55081
54651,55081
54651,55123
54643,55053
54721,55093
54721,55091
54721,55033
54529,55085
54538,55099
54538,55125
54538,55051
54538,55085
54554,55125
54741,55035
54741,55053
54741,55019
54904,55139
54904,55039
54891,55007
54890,55031
54771,55119
54771,55019
54914,55087
54914,55139
54849,55031
54844,55007
55071,27163
55106,27123
55107,27123
55107,27053
55026,27049
55113,27053
55113,27123
55306,27037
55310,27129
55312,27143
55312,27085
55343,27053
55303,27003
55353,27145
55353,27093
55431,27053
55435,27053
55771,27137
55771,27061
55771,27071
55781,27061
55781,27137
55903,27109
55906,27157
55906,27109
55447,27053
55448,27003
55614,27075
55924,27147
55924,27039
55936,27099
56180,27033
56180,27127
56180,27101
56125,27101
56090,27013
56096,27079
56096,27131
56096,27161
56080,27013
55987,27169
55992,27049
56379,27141
56379,27009
56295,27023
56523,27119
56527,27111
56352,27145
56353,27059
56353,27095
56353,27065
56353,27097
56358,27059
56358,27095
56358,27065
56363,27095
56545,27107
56556,27119
56570,27005
56561,27027
56577,27005
57073,46125
57073,46027
57216,46051
57216,46109
57234,46057
57234,46011
57234,46039
57235,46029
57235,46037
56721,27119
56744,27119
56744,27089
56755,27069
57252,46051
57252,46109
57324,46005
57247,46091
57725,46103
57767,46093
57767,46103
57370,46015
57370,46017
57426,46013
58103,38017
58067,38081
57787,46093
58040,38081
58040,38021
58042,38017
58006,38017
58126,38017
57481,46013
57481,46045
57481,46089
57531,46075
57433,46013
57428,46089
57428,46129
57428,46045
57477,46115
57449,46013
57642,46031
57650,46063
57623,46137
58228,38035
58274,38097
58274,38091
58278,38035
58330,38071
58330,38019
58330,38099
58327,38071
58327,38063
58638,38089
58638,38057
58638,38037
58638,38059
