ID,year,giving
9,2019,5
32,2019,51
61,2019,5000
86,2019,20
98,2019,120
109,2019,25
116,2019,10
121,2019,500
142,2019,5
188,2019,120
196,2019,1500
224,2019,1
245,2019,480
256,2019,1
266,2019,25
292,2019,25
306,2019,75
311,2019,120
342,2019,200
363,2019,40
373,2019,40
377,2019,40
410,2019,53
414,2019,200
416,2019,20
421,2019,10
436,2019,25
441,2019,50
469,2019,120
471,2019,3000
477,2019,1
483,2019,3000
497,2019,120
511,2019,90
546,2019,25
574,2019,25
599,2019,35
613,2019,400
619,2019,50
621,2019,90
625,2019,75
634,2019,360
654,2019,135
675,2019,100
680,2019,50
732,2019,1626
742,2019,1
745,2019,40
762,2019,150
790,2019,100
791,2019,100
816,2019,50
829,2019,230
841,2019,100
847,2019,100
856,2019,1
876,2019,80
881,2019,120
922,2019,90
925,2019,210
926,2019,100
949,2019,75
965,2019,1
977,2019,500
980,2019,130
991,2019,500
1043,2019,1
1046,2019,1
1056,2019,500
1061,2019,90
1070,2019,100
1073,2019,1
1107,2019,180
1117,2019,15
1153,2019,40
1172,2019,344
1173,2019,150
1182,2019,135
1189,2019,90
1200,2019,150
1218,2019,50000
1271,2019,1
1290,2019,25
1323,2019,108
1325,2019,500000
1329,2019,1
1332,2019,1
1336,2019,500
1338,2019,1
1375,2019,100
1384,2019,360
1413,2019,20
1417,2019,50
1430,2019,100
1454,2019,200
1485,2019,1
1517,2019,100
1522,2019,195
1523,2019,40
1529,2019,20
1532,2019,50
1537,2019,120
1547,2019,25
1553,2019,180
1567,2019,110
1590,2019,100
1591,2019,5
1608,2019,50
1633,2019,1
1635,2019,20
1651,2019,100
1658,2019,100
1668,2019,50
1670,2019,1
1673,2019,50
1681,2019,1
1684,2019,1
1687,2019,1
1709,2019,50
1716,2019,300
1738,2019,250
1743,2019,100
1750,2019,100
1754,2019,98
1791,2019,180
1804,2019,1
1811,2019,1
1818,2019,20
1838,2019,1000
1848,2019,219
1870,2019,1368
1881,2019,50
1889,2019,100
1899,2019,200
1911,2019,100
1921,2019,1
1938,2019,30
1957,2019,15
1974,2019,50
1975,2019,240
1982,2019,90
1983,2019,1
2018,2019,30
2025,2019,3
2026,2019,50
2032,2019,65
2072,2019,75
2074,2019,715
2111,2019,400
2141,2019,1
2159,2019,40
2171,2019,90
2173,2019,500000
2193,2019,240
2208,2019,1
2211,2019,5
2217,2019,1
2237,2019,100
2275,2019,1
2286,2019,30
2309,2019,1
2361,2019,160
2414,2019,165
2421,2019,1
2424,2019,1
2444,2019,30
2462,2019,1630
2476,2019,40
2477,2019,25
2486,2019,100
2501,2019,200
2547,2019,2
2551,2019,80
2593,2019,100
2624,2019,120
2636,2019,1500
2650,2019,1700
2662,2019,25
2674,2019,65
2701,2019,1
2713,2019,120
2730,2019,200
2731,2019,1
2735,2019,260
2821,2019,100
2827,2019,40
2857,2019,3000
2861,2019,1
2871,2019,180
2881,2019,450
2882,2019,50
2891,2019,1
2895,2019,2
2910,2019,100
2929,2019,19505
2935,2019,50
2957,2019,100
2963,2019,25
2964,2019,20
2981,2019,20
2994,2019,1
2999,2019,5
3016,2019,50
3019,2019,40
3022,2019,4500
3024,2019,100
3043,2019,20
3062,2019,120
3112,2019,250
3113,2019,135
3115,2019,195
3116,2019,300
3138,2019,100
3150,2019,180
3170,2019,100
3173,2019,1000
3176,2019,1
3191,2019,130
3194,2019,50
3215,2019,35
3235,2019,96
3243,2019,30
3265,2019,1
3268,2019,50
3278,2019,40
3279,2019,25
3287,2019,3000
3302,2019,100
3304,2019,40
3346,2019,120
3358,2019,3000
3371,2019,1
3375,2019,200
3455,2019,1
3456,2019,1626
3464,2019,1
3476,2019,1
3479,2019,90
3490,2019,120
3496,2019,1
3513,2019,25
3514,2019,2
3524,2019,1300
3528,2019,100
3531,2019,50
3541,2019,210
3561,2019,30
3584,2019,500
3588,2019,208
3669,2019,510
3726,2019,1
3728,2019,210
3729,2019,120
3732,2019,100
3742,2019,25
3751,2019,2000
3763,2019,100
3765,2019,10
3783,2019,1
3793,2019,1
3825,2019,20
3828,2019,250
3832,2019,1
3843,2019,5
3931,2019,98
3949,2019,235
3951,2019,100
3960,2019,1
3968,2019,1
4001,2019,1
4026,2019,1
4062,2019,30
4068,2019,100
4070,2019,1
4082,2019,120
4098,2019,75
4114,2019,3000
4133,2019,3000
4137,2019,100
4139,2019,1
4172,2019,100
4181,2019,1
4190,2019,1
4218,2019,130
4285,2019,1
4288,2019,1
4313,2019,52
4334,2019,120
4347,2019,40
4351,2019,90
4376,2019,50
4378,2019,50
4382,2019,120
4404,2019,100
4406,2019,5
4433,2019,30
4454,2019,20
4463,2019,20
4466,2019,120
4484,2019,50
4491,2019,1
4541,2019,20
4574,2019,1
4578,2019,130
4599,2019,50
4603,2019,2
4605,2019,1294
4611,2019,25
4621,2019,1550
4640,2019,1
4647,2019,250
4651,2019,1
4656,2019,315
4686,2019,135
4690,2019,75
4715,2019,500
4716,2019,50
4722,2019,75
4750,2019,110
4796,2019,145
4809,2019,50
4826,2019,200
4827,2019,200
4849,2019,100
4863,2019,10
4874,2019,50
4899,2019,1
4920,2019,3000
4924,2019,50
4935,2019,90
4973,2019,200
4979,2019,100
5025,2019,1
5032,2019,1
5033,2019,250
5037,2019,120
5044,2019,100
5055,2019,80
5064,2019,60
5075,2019,2
5081,2019,90
5101,2019,1
5119,2019,100
5139,2019,1
5152,2019,1
5154,2019,1
5163,2019,200
5188,2019,10850
5196,2019,2
5204,2019,325
5218,2019,1
5266,2019,25
5275,2019,180
5281,2019,50
5287,2019,120
5303,2019,100
5306,2019,25
5321,2019,10
5330,2019,15
5339,2019,1
5343,2019,192
5368,2019,1
5376,2019,100
5390,2019,50
5396,2019,25
5405,2019,1
5406,2019,150
5471,2019,100
5486,2019,5
5512,2019,1
5525,2019,15
5539,2019,150
5551,2019,205
5577,2019,50
5586,2019,200
5614,2019,100
5637,2019,50
5639,2019,10
5669,2019,33
5693,2019,25
5703,2019,2
5720,2019,120
5725,2019,145
5731,2019,1
5755,2019,5176
5765,2019,30
5774,2019,100
5782,2019,25
5791,2019,200
5792,2019,600
5801,2019,40
5813,2019,1
5819,2019,70
5833,2019,120
5838,2019,1
5849,2019,1
5863,2019,300
5865,2019,25
5874,2019,1
5886,2019,1
5890,2019,130
5903,2019,1
5920,2019,120
5929,2019,25
5931,2019,1
5932,2019,100
5971,2019,1000
6034,2019,240
6046,2019,70
6050,2019,826
6070,2019,1
6076,2019,50
6077,2019,300
6080,2019,180
6097,2019,250
6100,2019,500
6108,2019,1
6127,2019,1
6137,2019,1
6146,2019,1
6148,2019,180
6152,2019,750
6160,2019,60
6167,2019,2750
6182,2019,100
6186,2019,40
6190,2019,120
6199,2019,90
6210,2019,450
6214,2019,150
6271,2019,120
6279,2019,75
6284,2019,2
6311,2019,98
6326,2019,75
6328,2019,1000
6356,2019,1
6377,2019,1
6387,2019,5
6389,2019,110
6392,2019,5
6406,2019,85
6422,2019,100
6427,2019,75
6554,2019,300
6558,2019,25
6566,2019,1100
6581,2019,850
6589,2019,120
6633,2019,1
6660,2019,50
6682,2019,25
6709,2019,90000
6715,2019,50
6740,2019,500
6769,2019,65
6772,2019,3300
6778,2019,10
6799,2019,120
6806,2019,1
6813,2019,244
6826,2019,1
6861,2019,1
6887,2019,50
6906,2019,1
6915,2019,100
6920,2019,1
6931,2019,265
6963,2019,500
6990,2019,50
6994,2019,60
6999,2019,1100
7012,2019,65
7014,2019,1
7017,2019,100
7028,2019,1
7045,2019,1
7063,2019,750
7089,2019,500
7100,2019,1
7102,2019,200
7119,2019,1
7125,2019,20
7133,2019,130
7138,2019,5
7164,2019,180
7170,2019,1450
7234,2019,25
7248,2019,1
7261,2019,50
7272,2019,1
7274,2019,10
7280,2019,200
7295,2019,100
7304,2019,3000
7312,2019,1
7332,2019,21
7348,2019,90
7349,2019,10
7360,2019,200
7369,2019,300
7378,2019,1
7386,2019,100
7422,2019,45
7424,2019,150
7430,2019,11
7433,2019,1
7463,2019,98
7466,2019,100
7475,2019,2600
7483,2019,1
7509,2019,1
7524,2019,6000
7554,2019,500
7570,2019,150
7611,2019,50
7618,2019,1
7672,2019,1
7684,2019,25
7751,2019,80
7759,2019,200
7763,2019,25
7784,2019,500
7785,2019,1
7793,2019,1
7799,2019,50
7806,2019,50
7807,2019,1
7808,2019,195
7820,2019,20
7845,2019,200
7858,2019,170
7868,2019,3100
7881,2019,1
7888,2019,40
7903,2019,25
7922,2019,80
7984,2019,30
8006,2019,100
8011,2019,30
8017,2019,1
8032,2019,100
8040,2019,1
8055,2019,1
8079,2019,275
8093,2019,10
8116,2019,235
8125,2019,26
8157,2019,1
8195,2019,400
8207,2019,1
8209,2019,1
8249,2019,1
8252,2019,20
8258,2019,130
8279,2019,30
8299,2019,1
8309,2019,65
8318,2019,25
8356,2019,1
8365,2019,1
8370,2019,1
8385,2019,300
8417,2019,1000
8428,2019,200
8433,2019,25
8483,2019,50
8516,2019,25
8519,2019,1
8536,2019,25
8544,2019,100
8547,2019,25
8554,2019,1
8601,2019,1
8633,2019,1100
8648,2019,15
8667,2019,50
8702,2019,1141
8704,2019,90
8720,2019,55
8740,2019,1
8745,2019,100
8777,2019,250
8785,2019,30
8801,2019,150
8816,2019,50
8832,2019,1
8848,2019,100
8853,2019,240
8857,2019,120
8864,2019,1
8872,2019,120
8875,2019,1
8900,2019,140
8923,2019,220
8928,2019,90
8938,2019,5
8952,2019,40
8958,2019,1000
8968,2019,1
8969,2019,130
9011,2019,1
9014,2019,75
9016,2019,100
9018,2019,120
9022,2019,850
9026,2019,130
9038,2019,1
9047,2019,55
9061,2019,40
9073,2019,7000
9107,2019,1
9122,2019,100
9139,2019,315
9150,2019,2500
9151,2019,210
9160,2019,2
9161,2019,150
9183,2019,1
9191,2019,200
9197,2019,500
9209,2019,170
9221,2019,15
9230,2019,25
9270,2019,3
9271,2019,1
9277,2019,240
9279,2019,50
9288,2019,200
9294,2019,180
9301,2019,10000
9324,2019,500
9341,2019,200
9405,2019,375
9433,2019,144
9442,2019,25
9445,2019,1
9477,2019,50
9501,2019,500
9506,2019,200
9526,2019,50
9569,2019,150
9608,2019,60
9619,2019,200
9650,2019,5000
9673,2019,60
9701,2019,30
9705,2019,180
9712,2019,50
9724,2019,40
9725,2019,200
9739,2019,1
9752,2019,1
9794,2019,75
9808,2019,1
9833,2019,108
9863,2019,1000
9867,2019,100
9869,2019,50
9893,2019,6000
9941,2019,20
9944,2019,186
9959,2019,25
9965,2019,1000
10012,2019,50
10015,2019,150
10019,2019,200
10059,2019,120
10078,2019,145
10082,2019,70
10091,2019,20
10099,2019,1
10130,2019,165
10153,2019,180
10158,2019,1
10164,2019,75
10165,2019,50
10189,2019,470
10203,2019,25
